,Name,Geschlecht,Partei,Amtsantritt,Amtsaustritt,Zeitspanne,act_Amtsaustritt,amtsdauer_tage,amtsdauer_jahre
92,Johann Heinrich Walcher,männlich,FDP,1892-01-01,1898-01-01,1892-1898,1898-01-01,2192 days,6.001492159318809
94,Johannes Schneider,männlich,Demokraten,1892-01-01,1897-01-01,1892-1897,1897-01-01,1827 days,5.002156101768003
96,Paul Konrad Emil Usteri,männlich,FDP,1892-01-01,1896-01-01,1892-1896,1896-01-01,1461 days,4.000082137210209
97,Johann August Koller,männlich,Demokraten,1885-01-01,1896-01-01,1885-1896,1896-01-01,4017 days,10.998172447072836
0,Andreas Hauri,männlich,GLP,2018-01-01,,2018-,2022-01-01,1461 days,4.000082137210209
1,Karin Rykart,weiblich,GP,2018-01-01,,2018-,2022-01-01,1461 days,4.000082137210209
2,Michael Baumer,männlich,FDP,2018-01-01,,2018-,2022-01-01,1461 days,4.000082137210209
3,Filippo Leutenegger,männlich,FDP,2014-01-01,,2014-,2022-01-01,2922 days,8.000164274420419
4,Raphael Golta,männlich,SP,2014-01-01,,2014-,2022-01-01,2922 days,8.000164274420419
5,Richard Wolff,männlich,AL,2013-01-01,,2013-,2022-01-01,3287 days,8.999500331971225
6,André Odermatt,männlich,SP,2010-01-01,,2010-,2022-01-01,4383 days,12.000246411630629
8,Daniel Leupi,männlich,GP,2010-01-01,,2010-,2022-01-01,4383 days,12.000246411630629
9,Corine Mauch,weiblich,SP,2009-01-01,,2009-,2022-01-01,4748 days,12.999582469181433
